month,day,campaign_number,user_engagement,banner,placement,displays,cost,clicks,revenue,post_click_conversions,post_click_sales_amount,ctr,cpc,cr,roi
April,1,camp 2,Medium,160 x 600,CNBC,181282,45.9527,3611,141.9534,56,2923.7718,1.99,0.01,1.55,208.91
April,1,camp 2,Low,240 x 400,Morning Brew,12670,1.4582,51,2.0051,0,0.0,0.4,0.03,0.0,37.51
April,1,camp 2,Low,240 x 400,Buzzfeed,23968,18.3079,574,22.5666,10,1003.2078,2.39,0.03,1.74,23.26
April,1,camp 2,Low,240 x 400,Forbes,3706,1.6423,48,1.8871,0,0.0,1.3,0.03,0.0,14.91
April,1,camp 2,Low,240 x 400,CNBC,39787,4.5533,209,8.2163,0,0.0,0.53,0.02,0.0,80.45
April,1,camp 2,Medium,240 x 400,Morning Brew,64482,13.582,886,34.825,4,166.4344,1.37,0.02,0.45,156.41
April,1,camp 2,Medium,240 x 400,Buzzfeed,214846,184.0818,10390,408.4178,146,12485.0212,4.84,0.02,1.41,121.87
April,1,camp 2,Medium,240 x 400,Forbes,28666,13.0473,755,29.6727,18,916.0838,2.63,0.02,2.38,127.42
April,1,camp 2,Medium,240 x 400,CNBC,184116,61.6561,2720,106.9128,39,3724.3667,1.48,0.02,1.43,73.4
April,1,camp 2,Low,300 x 250,NYT,3,0.0061,1,0.0393,0,0.0,33.33,0.01,0.0,544.26
April,1,camp 2,Low,300 x 250,Morning Brew,8682,1.497,44,1.7286,0,0.0,0.51,0.03,0.0,15.47
April,1,camp 2,Low,300 x 250,Buzzfeed,4354,2.6398,86,3.3786,2,141.2879,1.98,0.03,2.33,27.99
April,1,camp 2,Low,300 x 250,CNBC,92429,9.1632,498,19.5742,1,12.9709,0.54,0.02,0.2,113.62
April,1,camp 2,Medium,300 x 250,Morning Brew,35227,14.1625,401,15.7612,14,839.2774,1.14,0.04,3.49,11.29
April,1,camp 2,Medium,300 x 250,Buzzfeed,33570,20.8269,1426,56.0374,38,2771.717,4.25,0.01,2.66,169.06
April,1,camp 2,Medium,300 x 250,Forbes,2324,1.318,19,0.747,0,0.0,0.82,0.07,0.0,-43.32
April,1,camp 2,Medium,300 x 250,CNBC,304259,73.5196,3328,130.8237,52,6350.6364,1.09,0.02,1.56,77.94
April,1,camp 2,Low,468 x 60,CNBC,587,0.0259,2,0.0786,0,0.0,0.34,0.01,0.0,203.47
April,1,camp 2,Medium,468 x 60,Morning Brew,1324,0.2195,9,0.3538,0,0.0,0.68,0.02,0.0,61.18
April,1,camp 2,Medium,468 x 60,CNBC,3094,0.2878,5,0.1965,0,0.0,0.16,0.06,0.0,-31.72
April,1,camp 2,Low,580 x 400,CNBC,12604,2.4409,245,9.6317,0,0.0,1.94,0.01,0.0,294.6
April,1,camp 2,Medium,580 x 400,CNBC,46408,22.7809,1766,69.4187,18,1683.7638,3.81,0.01,1.02,204.72
April,1,camp 2,Low,670 x 90,Morning Brew,552,0.1107,3,0.1179,0,0.0,0.54,0.04,0.0,6.5
April,1,camp 2,Low,670 x 90,Buzzfeed,371,0.2683,5,0.1965,0,0.0,1.35,0.05,0.0,-26.76
April,1,camp 2,Low,670 x 90,CNBC,4624,0.2915,24,0.9435,0,0.0,0.52,0.01,0.0,223.67
April,1,camp 2,Medium,670 x 90,Morning Brew,3957,1.6338,40,1.572,0,0.0,1.01,0.04,0.0,-3.78
April,1,camp 2,Medium,670 x 90,Buzzfeed,6501,4.9835,102,4.0095,5,359.4609,1.57,0.05,4.9,-19.54
April,1,camp 2,Medium,670 x 90,Forbes,449,0.3253,13,0.5104,0,0.0,2.9,0.03,0.0,56.9
April,1,camp 2,Medium,670 x 90,CNBC,19507,3.8768,252,9.9063,6,253.8565,1.29,0.02,2.38,155.53
April,1,camp 2,Low,728 x 90,Morning Brew,12328,1.6025,74,2.9093,1,22.7769,0.6,0.02,1.35,81.55
April,1,camp 2,Low,728 x 90,Buzzfeed,2999,3.1095,37,1.454,1,11.7896,1.23,0.08,2.7,-53.24
April,1,camp 2,Low,728 x 90,Forbes,1380,0.5564,13,0.5111,0,0.0,0.94,0.04,0.0,-8.14
April,1,camp 2,Low,728 x 90,CNBC,108130,9.4151,666,26.178,5,523.5354,0.62,0.01,0.75,178.04
April,1,camp 2,Medium,728 x 90,Morning Brew,59277,15.2085,722,28.3712,8,930.7221,1.22,0.02,1.11,86.55
April,1,camp 2,Medium,728 x 90,Buzzfeed,55588,63.9296,1515,59.5549,53,3942.6278,2.73,0.04,3.5,-6.84
April,1,camp 2,Medium,728 x 90,Forbes,13955,6.0226,228,8.9633,10,1160.8372,1.63,0.03,4.39,48.83
April,1,camp 2,Medium,728 x 90,CNBC,390929,79.3017,5323,209.2502,63,38386.9424,1.36,0.01,1.18,163.87
April,1,camp 2,Medium,800 x 250,CNBC,28,0.0112,2,0.0786,0,0.0,7.14,0.01,0.0,601.79
April,1,camp 3,High,160 x 600,Morning Brew,2366,0.5795,4,0.2096,0,0.0,0.17,0.14,0.0,-63.83
April,1,camp 3,High,160 x 600,CNBC,22167,5.018,50,2.621,1,532.0745,0.23,0.1,2.0,-47.77
April,1,camp 3,Low,160 x 600,Morning Brew,11834,0.6988,21,1.1008,0,0.0,0.18,0.03,0.0,57.53
April,1,camp 3,Low,160 x 600,CNBC,41489,2.2941,167,8.7543,0,0.0,0.4,0.01,0.0,281.6
April,1,camp 3,Medium,160 x 600,Morning Brew,17057,1.4853,51,2.6734,1,9.6979,0.3,0.03,1.96,79.99
April,1,camp 3,Medium,160 x 600,Buzzfeed,54,0.0723,1,0.0524,0,0.0,1.85,0.07,0.0,-27.52
April,1,camp 3,Medium,160 x 600,CNBC,82918,8.5739,533,27.9399,13,1195.3097,0.64,0.02,2.44,225.87
April,1,camp 3,High,240 x 400,Morning Brew,7325,1.5326,13,0.6814,1,128.4186,0.18,0.12,7.69,-55.54
April,1,camp 3,High,240 x 400,Buzzfeed,9037,7.402,67,3.5122,2,458.0165,0.74,0.11,2.99,-52.55
April,1,camp 3,High,240 x 400,Forbes,5524,2.4892,33,1.729,4,145.7912,0.6,0.08,12.12,-30.54
April,1,camp 3,High,240 x 400,CNBC,25346,8.8753,62,3.2475,9,446.8068,0.24,0.14,14.52,-63.41
April,1,camp 3,Low,240 x 400,Morning Brew,9414,0.7765,17,0.8911,0,0.0,0.18,0.05,0.0,14.76
April,1,camp 3,Low,240 x 400,Buzzfeed,3810,2.6574,31,1.6242,0,0.0,0.81,0.09,0.0,-38.88
April,1,camp 3,Low,240 x 400,Forbes,459,0.1932,8,0.4193,0,0.0,1.74,0.02,0.0,117.03
April,1,camp 3,Low,240 x 400,CNBC,24730,0.6839,34,1.7823,0,0.0,0.14,0.02,0.0,160.61
April,1,camp 3,Medium,240 x 400,Morning Brew,26007,2.7446,86,4.5065,0,0.0,0.33,0.03,0.0,64.2
April,1,camp 3,Medium,240 x 400,Buzzfeed,17962,13.865,315,16.5126,3,339.5186,1.75,0.04,0.95,19.1
April,1,camp 3,Medium,240 x 400,Forbes,4265,1.8812,61,3.1976,0,0.0,1.43,0.03,0.0,69.98
April,1,camp 3,Medium,240 x 400,CNBC,59998,4.4489,180,9.4358,2,201.9655,0.3,0.02,1.11,112.09
April,1,camp 3,High,300 x 250,Morning Brew,4967,1.7042,19,0.996,0,0.0,0.38,0.09,0.0,-41.56
April,1,camp 3,High,300 x 250,Buzzfeed,1273,0.7603,13,0.6814,0,0.0,1.02,0.06,0.0,-10.38
April,1,camp 3,High,300 x 250,Forbes,293,0.1758,1,0.0524,0,0.0,0.34,0.18,0.0,-70.19
April,1,camp 3,High,300 x 250,CNBC,30737,8.1757,94,4.9267,7,768.5861,0.31,0.09,7.45,-39.74
April,1,camp 3,Low,300 x 250,Morning Brew,12292,0.9557,63,3.3016,0,0.0,0.51,0.02,0.0,245.46
April,1,camp 3,Low,300 x 250,Buzzfeed,831,0.4489,9,0.4717,0,0.0,1.08,0.05,0.0,5.08
April,1,camp 3,Low,300 x 250,CNBC,66100,2.7654,118,6.184,7,463.3167,0.18,0.02,5.93,123.62
April,1,camp 3,Medium,300 x 250,NYT,4,0.008,1,0.0524,0,0.0,25.0,0.01,0.0,555.0
April,1,camp 3,Medium,300 x 250,Morning Brew,21214,2.9495,126,6.6036,1,3.9307,0.59,0.02,0.79,123.89
April,1,camp 3,Medium,300 x 250,Buzzfeed,2866,1.5827,69,3.6153,0,0.0,2.41,0.02,0.0,128.43
April,1,camp 3,Medium,300 x 250,Forbes,44,0.0227,1,0.0524,0,0.0,2.27,0.02,0.0,130.84
April,1,camp 3,Medium,300 x 250,CNBC,116957,9.17,418,21.9095,3,216.6186,0.36,0.02,0.72,138.93
April,1,camp 3,Medium,468 x 60,Morning Brew,421,0.0278,3,0.1572,0,0.0,0.71,0.01,0.0,465.47
April,1,camp 3,Medium,468 x 60,CNBC,893,0.0148,1,0.0524,0,0.0,0.11,0.01,0.0,254.05
April,1,camp 3,High,580 x 400,CNBC,7540,3.1057,32,1.6769,0,0.0,0.42,0.1,0.0,-46.01
April,1,camp 3,Low,580 x 400,CNBC,10045,0.752,73,3.8267,0,0.0,0.73,0.01,0.0,408.87
April,1,camp 3,Medium,580 x 400,CNBC,23157,3.0873,248,12.9996,1,66.9636,1.07,0.01,0.4,321.07
April,1,camp 3,High,670 x 90,Buzzfeed,115,0.0928,1,0.0524,0,0.0,0.87,0.09,0.0,-43.53
April,1,camp 3,High,670 x 90,CNBC,1978,0.3535,2,0.1048,0,0.0,0.1,0.18,0.0,-70.35
April,1,camp 3,Low,670 x 90,Morning Brew,368,0.0392,3,0.1572,0,0.0,0.82,0.01,0.0,301.02
April,1,camp 3,Low,670 x 90,CNBC,2852,0.0522,8,0.4193,0,0.0,0.28,0.01,0.0,703.26
April,1,camp 3,Medium,670 x 90,Morning Brew,2313,0.3211,8,0.4193,0,0.0,0.35,0.04,0.0,30.58
April,1,camp 3,Medium,670 x 90,Buzzfeed,146,0.1441,1,0.0524,0,0.0,0.68,0.14,0.0,-63.64
April,1,camp 3,Medium,670 x 90,Forbes,78,0.0445,2,0.1048,0,0.0,2.56,0.02,0.0,135.51
April,1,camp 3,Medium,670 x 90,CNBC,7479,0.2922,5,0.2612,0,0.0,0.07,0.06,0.0,-10.61
April,1,camp 3,High,728 x 90,Morning Brew,7601,1.6849,23,1.2056,1,185.3349,0.3,0.07,4.35,-28.45
April,1,camp 3,High,728 x 90,Buzzfeed,1274,1.4142,7,0.3669,0,0.0,0.55,0.2,0.0,-74.06
April,1,camp 3,High,728 x 90,Forbes,1960,0.7769,8,0.4193,0,0.0,0.41,0.1,0.0,-46.03
April,1,camp 3,High,728 x 90,CNBC,37014,7.8852,105,5.5033,9,462.9524,0.28,0.08,8.57,-30.21
April,1,camp 3,Low,728 x 90,Morning Brew,12477,1.1348,63,3.2986,0,0.0,0.5,0.02,0.0,190.68
April,1,camp 3,Low,728 x 90,Buzzfeed,550,0.5864,4,0.2096,0,0.0,0.73,0.15,0.0,-64.26
April,1,camp 3,Low,728 x 90,CNBC,91468,3.836,316,16.5625,2,561.1487,0.35,0.01,0.63,331.76
April,1,camp 3,Medium,728 x 90,Morning Brew,29216,3.4209,146,7.6526,1,8.6485,0.5,0.02,0.68,123.7
April,1,camp 3,Medium,728 x 90,Buzzfeed,1737,1.6859,17,0.8911,0,0.0,0.98,0.1,0.0,-47.14
April,1,camp 3,Medium,728 x 90,Forbes,1852,0.617,9,0.4717,0,0.0,0.49,0.07,0.0,-23.55
April,1,camp 3,Medium,728 x 90,CNBC,174462,12.3332,707,37.055,1,136.5586,0.41,0.02,0.14,200.45
April,2,camp 1,High,160 x 600,Morning Brew,17332,19.7963,140,25.2734,26,1921.272,0.81,0.14,18.57,27.67
April,2,camp 1,High,160 x 600,Buzzfeed,14288,26.2022,151,27.2622,59,3860.1421,1.06,0.17,39.07,4.05
April,2,camp 1,High,160 x 600,CNBC,154658,180.7481,1509,272.4525,542,23994.6771,0.98,0.12,35.92,50.74
April,2,camp 1,Low,160 x 600,CNBC,2083,0.3635,3,0.5416,2,51.5584,0.14,0.12,66.67,49.0
April,2,camp 1,Medium,160 x 600,Morning Brew,2261,0.953,2,0.361,0,0.0,0.09,0.48,0.0,-62.12
April,2,camp 1,Medium,160 x 600,Buzzfeed,502,0.8465,3,0.5416,0,0.0,0.6,0.28,0.0,-36.02
April,2,camp 1,Medium,160 x 600,CNBC,17427,8.2093,159,28.7066,37,2403.4922,0.91,0.05,23.27,249.68
April,2,camp 1,High,240 x 400,Morning Brew,48847,43.9118,305,55.0681,43,3552.283,0.62,0.14,14.1,25.41
April,2,camp 1,High,240 x 400,Buzzfeed,304804,275.3454,7767,1402.2994,2187,113046.5668,2.55,0.04,28.16,409.29
April,2,camp 1,High,240 x 400,Forbes,54447,24.8181,528,95.3277,175,8840.9398,0.97,0.05,33.14,284.11
April,2,camp 1,High,240 x 400,CNBC,187529,312.1415,1633,294.836,672,31683.7408,0.87,0.19,41.15,-5.54
April,2,camp 1,Low,240 x 400,Morning Brew,422,0.0556,1,0.1805,0,0.0,0.24,0.06,0.0,224.64
April,2,camp 1,Low,240 x 400,Buzzfeed,940,0.7412,18,3.2498,3,126.8199,1.91,0.04,16.67,338.45
April,2,camp 1,Low,240 x 400,Forbes,314,0.1325,1,0.1805,0,0.0,0.32,0.13,0.0,36.23
April,2,camp 1,Low,240 x 400,CNBC,1580,0.3519,3,0.5416,0,0.0,0.19,0.12,0.0,53.91
April,2,camp 1,Medium,240 x 400,Morning Brew,5354,1.8911,12,2.1665,1,13.3345,0.22,0.16,8.33,14.56
April,2,camp 1,Medium,240 x 400,Buzzfeed,16728,14.406,436,78.7176,40,1973.808,2.61,0.03,9.17,446.42
April,2,camp 1,Medium,240 x 400,Forbes,3892,1.7273,43,7.7634,8,424.1517,1.1,0.04,18.6,349.45
April,2,camp 1,Medium,240 x 400,CNBC,15017,9.845,118,21.3053,24,1376.4896,0.79,0.08,20.34,116.41
April,2,camp 1,High,300 x 250,Morning Brew,41896,45.4333,277,50.0109,102,4162.0391,0.66,0.16,36.82,10.08
April,2,camp 1,High,300 x 250,Buzzfeed,70071,46.7762,1325,239.2221,361,14883.7289,1.89,0.04,27.25,411.42
April,2,camp 1,High,300 x 250,Forbes,5132,2.8429,26,4.6941,13,971.9768,0.51,0.11,50.0,65.12
April,2,camp 1,High,300 x 250,CNBC,235317,275.17,1844,332.9273,896,77490.5358,0.78,0.15,48.59,20.99
April,2,camp 1,Low,300 x 250,Morning Brew,424,0.1294,3,0.5416,0,0.0,0.71,0.04,0.0,318.55
April,2,camp 1,Low,300 x 250,Buzzfeed,216,0.1213,5,0.9027,0,0.0,2.31,0.02,0.0,644.19
April,2,camp 1,Low,300 x 250,CNBC,2745,0.4702,6,1.0832,0,0.0,0.22,0.08,0.0,130.37
April,2,camp 1,Medium,300 x 250,Morning Brew,4324,2.9404,22,3.9719,2,58.5481,0.51,0.13,9.09,35.08
April,2,camp 1,Medium,300 x 250,Buzzfeed,3171,1.9555,99,17.8739,10,88.1188,3.12,0.02,10.1,814.03
April,2,camp 1,Medium,300 x 250,Forbes,230,0.1307,1,0.1805,1,150.8711,0.43,0.13,100.0,38.1
April,2,camp 1,Medium,300 x 250,CNBC,23404,11.9484,142,25.6373,14,520.8722,0.61,0.08,9.86,114.57
April,2,camp 1,High,468 x 60,Morning Brew,1076,0.5295,4,0.7221,0,0.0,0.37,0.13,0.0,36.37
April,2,camp 1,High,580 x 400,CNBC,45327,110.5201,889,160.5044,453,19132.9713,1.96,0.12,50.96,45.23
April,2,camp 1,Low,580 x 400,CNBC,375,0.1191,5,0.9027,0,0.0,1.33,0.02,0.0,657.93
April,2,camp 1,Medium,580 x 400,CNBC,3669,3.9015,48,8.6661,5,144.5778,1.31,0.08,10.42,122.12
April,2,camp 1,High,670 x 90,Morning Brew,4491,7.9513,49,8.8467,30,576.9186,1.09,0.16,61.22,11.26
April,2,camp 1,High,670 x 90,Buzzfeed,16534,12.9019,135,24.3735,99,2985.5434,0.82,0.1,73.33,88.91
April,2,camp 1,High,670 x 90,Forbes,274,0.1868,1,0.1805,0,0.0,0.36,0.19,0.0,-3.37
April,2,camp 1,High,670 x 90,CNBC,16974,22.8296,146,26.3595,51,2221.0902,0.86,0.16,34.93,15.46
April,2,camp 1,Low,670 x 90,Morning Brew,39,0.0069,1,0.1805,0,0.0,2.56,0.01,0.0,2515.94
April,2,camp 1,Low,670 x 90,Buzzfeed,21,0.0105,1,0.1805,0,0.0,4.76,0.01,0.0,1619.05
April,2,camp 1,Medium,670 x 90,Morning Brew,418,0.3983,9,1.6249,0,0.0,2.15,0.04,0.0,307.96
April,2,camp 1,Medium,670 x 90,Buzzfeed,995,0.6479,5,0.9027,0,0.0,0.5,0.13,0.0,39.33
April,2,camp 1,Medium,670 x 90,CNBC,1494,0.7487,16,2.8887,1,241.2338,1.07,0.05,6.25,285.83
April,2,camp 1,High,728 x 90,Morning Brew,68761,76.9999,442,79.8017,130,7581.738,0.64,0.17,29.41,3.64
April,2,camp 1,High,728 x 90,Buzzfeed,206356,266.9145,2910,525.3868,1064,47941.3027,1.41,0.09,36.56,96.84
April,2,camp 1,High,728 x 90,Forbes,23526,10.2019,176,31.7759,82,1995.7442,0.75,0.06,46.59,211.47
April,2,camp 1,High,728 x 90,CNBC,362969,339.7693,2384,430.4202,912,44394.7214,0.66,0.14,38.26,26.68
April,2,camp 1,Low,728 x 90,Morning Brew,637,0.122,1,0.1805,0,0.0,0.16,0.12,0.0,47.95
April,2,camp 1,Low,728 x 90,Buzzfeed,276,0.3279,4,0.7221,1,218.2788,1.45,0.08,25.0,120.22
April,2,camp 1,Low,728 x 90,CNBC,4194,0.6476,9,1.6249,4,230.4656,0.21,0.07,44.44,150.91
April,2,camp 1,Medium,728 x 90,Morning Brew,6857,3.4406,27,4.8747,6,167.133,0.39,0.13,22.22,41.68
April,2,camp 1,Medium,728 x 90,Buzzfeed,9083,10.9614,116,20.9432,18,693.3314,1.28,0.09,15.52,91.06
April,2,camp 1,Medium,728 x 90,Forbes,1972,0.8353,22,3.9719,2,125.6464,1.12,0.04,9.09,375.51
April,2,camp 1,Medium,728 x 90,CNBC,39528,17.6408,218,39.3588,42,1589.2214,0.55,0.08,19.27,123.11
April,2,camp 2,Low,160 x 600,Morning Brew,6347,0.4525,19,0.735,0,0.0,0.3,0.02,0.0,62.43
April,2,camp 2,Low,160 x 600,Buzzfeed,99,0.1353,5,0.1934,0,0.0,5.05,0.03,0.0,42.94
April,2,camp 2,Low,160 x 600,CNBC,54552,6.4353,425,16.4424,0,0.0,0.78,0.02,0.0,155.5
April,2,camp 2,Medium,160 x 600,Morning Brew,20551,4.472,225,8.7048,3,134.3125,1.09,0.02,1.33,94.65
April,2,camp 2,Medium,160 x 600,Buzzfeed,2372,3.5077,42,1.6249,0,0.0,1.77,0.08,0.0,-53.68
April,2,camp 2,Medium,160 x 600,CNBC,189214,44.2336,4033,156.0297,22,1214.7213,2.13,0.01,0.55,252.74
April,2,camp 2,Low,240 x 400,Morning Brew,11237,1.3907,47,1.8185,0,0.0,0.42,0.03,0.0,30.76
April,2,camp 2,Low,240 x 400,Buzzfeed,18523,13.8797,431,16.6746,4,189.1079,2.33,0.03,0.93,20.14
April,2,camp 2,Low,240 x 400,Forbes,3967,1.6288,55,2.1288,1,37.8933,1.39,0.03,1.82,30.7
April,2,camp 2,Low,240 x 400,CNBC,40040,4.4069,221,8.5503,3,518.4353,0.55,0.02,1.36,94.02
April,2,camp 2,Medium,240 x 400,Morning Brew,55529,12.8383,809,31.2987,4,277.7942,1.46,0.02,0.49,143.79
April,2,camp 2,Medium,240 x 400,Buzzfeed,166072,138.1988,8098,313.3002,128,12831.1765,4.88,0.02,1.58,126.7
